排名,电影名,导演,年份,国家/地区,评分,评价人数,一句话评价
164,哈利·波特与密室,Chris Columbus,2002,英国 美国,8.9,855596,魔法的密室之门已打开...
165,春光乍泄,王家卫 Kar Wai Wong,1997,中国香港 日本 韩国,9.0,677113,爱情纠缠，男女一致。
166,致命ID,詹姆斯·曼高德 James Mangold,2003,美国,8.9,895584,最不可能的那个人永远是最可能的。
167,杀人回忆,奉俊昊 Joon-ho Bong,2003,韩国,8.9,785724,关于连环杀人悬案的集体回忆。
168,海豚湾,路易·西霍尤斯 Louie Psihoyos,2009,美国,9.3,372308,海豚的微笑，是世界上最高明的伪装。
169,美国往事,赛尔乔·莱翁内 Sergio Leone,1984,美国 意大利,9.1,447285,往事如烟，无处祭奠。
170,一一,杨德昌 Edward Yang,2000,中国台湾 日本,9.1,451748,我们都曾经是一一。
171,加勒比海盗,戈尔·维宾斯基 Gore Verbinski,2003,美国,8.8,921180,约翰尼·德普的独角戏。
172,红辣椒,今敏 Satoshi Kon,2006,日本,9.0,526182,梦的勾结。
173,七宗罪,大卫·芬奇 David Fincher,1995,美国,8.8,1005487,警察抓小偷，老鼠玩死猫。
174,唐伯虎点秋香,李力持 Lik-Chi Lee,1993,中国香港,8.7,1162215,华太师是黄霑，吴镇宇四大才子之一。
175,狩猎,托马斯·温特伯格 Thomas Vinterberg,2012,丹麦 瑞典,9.1,435504,人言可畏。
201,7号房的礼物,李焕庆 Hwan-kyeong Lee,2013,韩国,8.9,595350,《我是山姆》的《美丽人生》。
202,甜蜜蜜,陈可辛 Peter Chan,1996,中国香港,8.9,625097,相逢只要一瞬间，等待却像是一辈子。
203,蝙蝠侠：黑暗骑士崛起,克里斯托弗·诺兰 Christopher Nolan,2012,美国 英国,8.9,775212,诺兰就是保证。
204,被嫌弃的松子的一生,中岛哲也 Tetsuya Nakashima,2006,日本,8.8,745034,以戏谑来戏谑戏谑。
205,爱在黎明破晓前,理查德·林克莱特 Richard Linklater,1995,美国 奥地利 瑞士,8.8,749215,缘分是个连绵词，最美不过一瞬。
206,超能陆战队,唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,2014,美国,8.8,1090162,Balalala~~~
207,寄生虫,奉俊昊 Joon-ho Bong,2019,韩国,8.8,1471757,无
208,第六感,M·奈特·沙马兰 M. Night Shyamalan,1999,美国,8.9,602595,深入内心的恐怖，出人意料的结局。
209,重庆森林,王家卫 Kar Wai Wong,1994,中国香港,8.8,875676,寂寞没有期限。
210,爱在日落黄昏时,理查德·林克莱特 Richard Linklater,2004,美国 法国,8.9,614393,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
211,入殓师,泷田洋二郎 Yôjirô Takita,2008,日本,8.9,715948,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
212,天书奇谭,王树忱 Shuchen Wang / 钱运达 Yunda Qian,1983(中国大陆),中国大陆,9.2,301329,无
213,幽灵公主,宫崎骏 Hayao Miyazaki,1997,日本,8.9,564342,人与自然的战争史诗。
214,剪刀手爱德华,蒂姆·波顿 Tim Burton,1990,美国,8.7,1086664,浪漫忧郁的成人童话。
215,断背山,李安 Ang Lee,2005,美国 加拿大,8.8,749130,每个人心中都有一座断背山。
216,请以你的名字呼唤我,卢卡·瓜达尼诺 Luca Guadagnino,2017,意大利 法国 巴西 美国,8.8,782533,沉醉在电影的情感和视听氛围中无法自拔。
217,勇敢的心,梅尔·吉布森 Mel Gibson,1995,美国,8.9,585739,史诗大片的典范。
218,菊次郎的夏天,北野武 Takeshi Kitano,1999,日本,8.9,643455,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
219,借东西的小人阿莉埃蒂,米林宏昌 Hiromasa Yonebayashi,2010,日本,8.9,596873,曾经的那段美好会沉淀为一辈子的记忆。
220,未麻的部屋,今敏 Satoshi Kon,1997,日本,9.1,390955,好的剧本是，就算你猜到了结局也猜不到全部。
221,哈利·波特与火焰杯,迈克·内威尔 Mike Newell,2005,英国 美国,8.8,747554,无
222,消失的爱人,大卫·芬奇 David Fincher,2014,美国,8.7,1026512,年度最佳date movie。
223,无人知晓,是枝裕和 Hirokazu Koreeda,2004,日本,9.1,353090,我的平常生活就是他人的幸福。
224,时空恋旅人,理查德·柯蒂斯 Richard Curtis,2013,英国 美国,8.8,740748,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
225,茶馆,谢添 Tian Xie,1982(中国大陆),中国大陆,9.6,182209,无
251,倩女幽魂,程小东 Siu-Tung Ching,1987,中国香港,8.8,784659,两张绝世的脸。 
252,完美的世界,克林特·伊斯特伍德 Clint Eastwood,1993,美国,9.1,342305,坏人的好总是比好人的好来得更感人。
253,阳光灿烂的日子,姜文 Wen Jiang,1994,中国大陆 中国香港,8.8,660018,一场华丽的意淫。
254,小森林 夏秋篇,森淳一 Junichi Mori,2014,日本,9.0,453274,那些静得只能听见呼吸的日子里，你明白孤独即生活。
255,天使爱美丽,让-皮埃尔·热内 Jean-Pierre Jeunet,2001,法国 德国,8.7,993244,法式小清新。 
256,头脑特工队,彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...,2015,美国,8.8,730288,愿我们都不用长大，每一座城堡都能永远存在。
257,驯龙高手,迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,2010,美国,8.8,811388,和谐的生活离不开摸头与被摸头。
258,侧耳倾听,近藤喜文 Yoshifumi Kondo,1995,日本,8.9,498206,少女情怀总是诗。
259,新世界,朴勋政 Hoon-jung Park,2013,韩国,8.9,492593,要做就做得狠一点，这样才能活下去。
260,怪兽电力公司,彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,2001,美国,8.8,729654,不要给它起名字，起了名字就有感情了。
261,教父3,弗朗西斯·福特·科波拉 Francis Ford Coppola,1990,美国,9.0,407272,任何信念的力量，都无法改变命运。
262,傲慢与偏见,乔·怀特 Joe Wright,2005,法国 英国 美国,8.7,869814,爱是摈弃傲慢与偏见之后的曙光。
263,玩具总动员3,李·昂克里奇 Lee Unkrich,2010,美国,8.9,560227,跨度十五年的欢乐与泪水。
264,一个叫欧维的男人决定去死,汉内斯·赫尔姆 Hannes Holm,2015,瑞典,8.9,529158,惠及一生的美丽。
265,幸福终点站,史蒂文·斯皮尔伯格 Steven Spielberg,2004,美国,8.8,612237,有时候幸福需要等一等。 
266,小森林 冬春篇,森淳一 Junichi Mori,2015,日本,9.0,403289,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
267,色，戒,李安 Ang Lee,2007,中国台湾 中国大陆 美国 中国香港,8.7,899752,假戏真情，爱欲深海
268,被解救的姜戈,昆汀·塔伦蒂诺 Quentin Tarantino,2012,美国,8.8,656067,热血沸腾，那个低俗、性感的无耻混蛋又来了。
269,釜山行,延尚昊 Sang-ho Yeon,2016,韩国,8.6,1286014,揭露人性的丧尸题材力作。
270,神偷奶爸,皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,2010,美国 法国,8.7,1006164,Mr. I Don't Care其实也有Care的时候。
271,萤火之森,大森贵弘 Takahiro Omori,2011,日本,8.8,581104,触不到的恋人。
272,九品芝麻官,王晶 Jing Wong,1994,中国香港 中国大陆,8.7,746406,无
273,哪吒闹海,王树忱 Shuchen Wang / 严定宪 Dingxian Yan,1979,中国大陆,9.2,281885,想你时你在闹海。
274,告白,中岛哲也 Tetsuya Nakashima,2010,日本,8.8,712260,没有一人完全善，也没有一人完全恶。
275,喜宴,李安 Ang Lee,1993,中国台湾 美国,9.0,400842,中国家庭的喜怒哀乐忍。
301,玛丽和马克思,亚当·艾略特 Adam Elliot,2009,澳大利亚 美国,9.0,442130,你是我最好的朋友，你是我唯一的朋友 。
302,模仿游戏,莫滕·泰杜姆 Morten Tyldum,2014,英国 美国,8.8,693043,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
303,头号玩家,史蒂文·斯皮尔伯格 Steven Spielberg,2018,美国,8.6,1450761,写给影迷，动漫迷和游戏迷的一封情书。
304,花样年华,王家卫 Kar Wai Wong,2000,中国香港,8.8,666014,偷情本没有这样美。
305,大鱼,蒂姆·波顿 Tim Burton,2003,美国,8.8,602352,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
